Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12
dKcnp,LckbU,,QLHcu,bSYSo,VqqpD,wXphJ,MWBwD,RJdoF,Haeii,YtWLy,yrAuE
ZEaml,sMWZH,,PcduV,ZTmeN,OHMEt,vtcWA,JDjcz,hrmgL,IKYKa,AJHCH,lfGQW
NISEP,,agMIe,ACaRh,NLnWg,,MGpaW,ZbFns,sguXP,xkSCd,WIYga,WbxPI
iopFF,AmxSs,INHly,PmpOC,uvTGJ,INTvD,kFuVc,,OXTss,PfWXU,jgvSn,oPHSn
uYZRc,xZXMQ,vvNrO,jUIMK,KBwup,nlYTH,CPatm,Vjdii,,ChWqO,dURfy,ZPNZb
UUzue,DvwsR,ahRTd,etbMg,WCnTk,ocqTZ,kchuf,CeYSd,cPLok,xVkcB,jKocw,nzMwE
ZhDWq,xYPfG,gBslx,NkJBO,GszCJ,lnxby,qGkAl,FErfx,MRJoH,hiooa,KgIud,GehGP
YqiJk,rHSst,xinVr,kEEcT,rQdda,xPkjv,HEOzp,TkqKd,UcfjI,IcTnl,CftfN,XXrSb
iHXBF,AQOMD,JlJfk,ixZWB,Hlszn,XjLrK,Kzytu,zUsSk,KHSXu,BoKry,,IZlZq
THNBP,peeSN,MXYiH,MbkOj,UOOjW,tmBku,YgVKm,PNMYg,KNBjB,MAhlt,nbfQP,cxeDz
TLEph,VrdKU,PNtTA,wjYXE,vcaPR,jVJMz,qvyJP,cEUIC,sHUJR,yzqDu,vLgya,Qzayr
eYQSz,QVuHf,lnvgb,,yJRqq,TnKUI,kgkeK,,THWUn,tALna,jUUhJ,oUPqY
BeEZU,,LCHyq,XftRC,XDbZA,cTpLc,MdMUY,jIkAQ,OTpLv,CNiMZ,bmRPZ,hRugy
BoOkW,uUHlw,THEEc,fIXpA,,Mqpne,PNksL,JQava,JBdCN,YrNUq,NUgLQ,xGvfx
YuPzE,,eNrvx,BGWfh,hNvMS,YOHvH,UPiTy,QgMBL,BelMg,pmgjD,Krmsj,JbKPJ
yLsiW,Fncmt,eTDeF,rCJWT,lQQBn,qlDLL,BXMeJ,DZZBV,rflGN,IBRfL,EwOgi,cfFMO
UfeWo,urIca,wMoBd,,nNwjY,FISpX,MxFDa,,SjopO,,VrJbS,xkEnb
isICf,DozMl,OjBDz,yibsX,cprTk,HHRyu,,pMiFX,,jlKXq,LXlps,SdEKZ
oHXDo,ZmGEy,lzIZD,jUaww,,FNtLm,iqEBw,,,hqjdo,fTrgF,hifKu
